Wavelength (nm),Optical Density,Transmission (%)
951,5.00018,1.00E-03
950,5.00024,9.99E-04
949,5.0003,9.99E-04
948,5.00075,9.98E-04
947,5.002,9.95E-04
946,5.01934,9.56E-04
945,5.04957,8.92E-04
944,5.08253,8.27E-04
943,5.11549,7.67E-04
942,5.473,3.37E-04
941,5.83052,1.48E-04
940,6.67665,2.11E-05
939,6.92959,1.18E-05
938,5.35918,4.37E-04
937,5.2203,6.02E-04
936,5.34549,4.51E-04
935,5.24011,5.75E-04
934,5.13473,7.33E-04
933,5.29878,5.03E-04
932,5.31726,4.82E-04
931,5.35467,4.42E-04
930,5.04008,9.12E-04
929,5.36709,4.29E-04
928,5.08814,8.16E-04
927,5.21843,6.05E-04
926,5.34872,4.48E-04
925,5.38826,4.09E-04
924,5.15561,6.99E-04
923,5.16369,6.86E-04
922,5.43799,3.65E-04
921,5.1801,6.61E-04
920,5.03493,9.23E-04
919,5.24064,5.75E-04
918,5.44635,3.58E-04
917,5.00294,9.93E-04
916,5.06218,8.67E-04
915,5.31437,4.85E-04
914,5.06655,8.58E-04
913,5.33662,4.61E-04
912,5.0803,8.31E-04
911,5.07715,8.37E-04
910,5.074,8.43E-04
909,5.32402,4.74E-04
908,5.19805,6.34E-04
907,5.21673,6.07E-04
906,5.2354,5.82E-04
905,6.8677,1.36E-05
904,6.65407,2.22E-05
903,5.71114,1.94E-04
902,5.36436,4.32E-04
901,5.01757,9.60E-04
900,5.26694,5.41E-04
899,5.30563,4.95E-04
898,5.13561,7.32E-04
897,5.05205,8.87E-04
896,5.13497,7.33E-04
895,5.02026,9.54E-04
894,5.0635,8.64E-04
893,5.10674,7.82E-04
892,5.27958,5.25E-04
891,5.71164,1.94E-04
890,6.63379,2.32E-05
889,6.7608,1.73E-05
888,5.02159,9.51E-04
887,5.03474,9.23E-04
886,5.04789,8.96E-04
885,5.09949,7.95E-04
884,5.22798,5.92E-04
883,5.11284,7.71E-04
882,5.0197,9.56E-04
881,5.00425,9.90E-04
880,5.00017,1.00E-03
879,5.00176,9.96E-04
878,5.00336,9.92E-04
877,5.02468,9.45E-04
876,5.17029,6.76E-04
875,5.11705,7.64E-04
874,5.0638,8.63E-04
873,5.01095,9.75E-04
872,5.02313,9.48E-04
871,5.03531,9.22E-04
870,5.07076,8.50E-04
869,5.00954,9.78E-04
868,5.00154,9.96E-04
867,5.00028,9.99E-04
866,5.00021,1.00E-03
865,5.00015,1.00E-03
864,5.00033,9.99E-04
863,5.00771,9.82E-04
862,5.06874,8.54E-04
861,5.03647,9.19E-04
860,5.20303,6.27E-04
859,5.53176,2.94E-04
858,7.20735,6.20E-06
857,7.41125,3.88E-06
856,7.4057,3.93E-06
855,7.29962,5.02E-06
854,6.78303,1.65E-05
853,7.14321,7.19E-06
852,7.08029,8.31E-06
851,6.61525,2.43E-05
850,6.6155,2.42E-05
849,6.75815,1.75E-05
848,6.36679,4.30E-05
